时间,基金代码,基金简称,跟踪指数,旧状态,新状态,旧限额,新限额
2026-05-11T12:21:31+08:00,539001,建信纳斯达克100指数(QDII)A人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:20:30+08:00,000834,大成纳斯达克100ETF联接(QDII)A,纳斯达克100,(新增),限制大额申购,,500.0
2026-05-11T15:20:32+08:00,006075,博时标普500ETF联接C,标普500,(新增),暂停申购,,100.0
2026-05-11T15:20:34+08:00,006479,广发纳斯达克100ETF联接人民币(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T15:20:36+08:00,007721,天弘标普500发起(QDII-FOF)A,标普500,(新增),限制大额申购,,100.0
2026-05-11T15:20:38+08:00,007722,天弘标普500发起(QDII-FOF)C,标普500,(新增),限制大额申购,,100.0
2026-05-11T15:20:40+08:00,008401,大成标普500等权重指数(QDII)C人民币,标普500,(新增),限制大额申购,,1000.0
2026-05-11T15:20:42+08:00,008971,大成纳斯达克100ETF联接(QDII)C,纳斯达克100,(新增),限制大额申购,,500.0
2026-05-11T15:20:44+08:00,012752,建信纳斯达克100指数(QDII)C人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:20:46+08:00,012860,易方达标普500指数人民币C,标普500,(新增),暂停申购,,10.0
2026-05-11T15:20:48+08:00,012870,易方达纳斯达克100ETF联接(QDII-LOF)C(人民币),纳斯达克100,(新增),暂停申购,,10.0
2026-05-11T15:20:49+08:00,014978,华安纳斯达克100ETF联接(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T15:20:51+08:00,015299,华夏纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T15:20:53+08:00,015300,华夏纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T15:20:55+08:00,016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T15:20:57+08:00,016057,博时纳斯达克100ETF发起式联接(QDII)C人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T15:20:59+08:00,016452,南方纳斯达克100指数发起(QDII)A,纳斯达克100,(新增),限制大额申购,,200.0
2026-05-11T15:21:02+08:00,016453,南方纳斯达克100指数发起(QDII)C,纳斯达克100,(新增),限制大额申购,,200.0
2026-05-11T15:21:03+08:00,016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T15:21:05+08:00,016533,嘉实纳斯达克100ETF发起联接(QDII)C人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T15:21:07+08:00,017028,国泰标普500ETF发起联接(QDII)A人民币,标普500,(新增),暂停申购,,
2026-05-11T15:21:09+08:00,017030,国泰标普500ETF发起联接(QDII)C人民币,标普500,(新增),暂停申购,,
2026-05-11T15:21:11+08:00,017641,摩根标普500指数(QDII)人民币A,标普500,(新增),限制大额申购,,100.0
2026-05-11T15:21:13+08:00,018043,天弘纳斯达克100指数发起(QDII)A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:21:15+08:00,018044,天弘纳斯达克100指数发起(QDII)C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:21:17+08:00,018064,华夏标普500ETF发起式联接(QDII)A(人民币),标普500,(新增),暂停申购,,100.0
2026-05-11T15:21:19+08:00,018065,华夏标普500ETF发起式联接(QDII)C,标普500,(新增),暂停申购,,100.0
2026-05-11T15:21:21+08:00,018738,博时标普500ETF联接E(人民币),标普500,(新增),限制大额申购,,
2026-05-11T15:21:23+08:00,018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:21:25+08:00,018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:21:27+08:00,019172,摩根纳斯达克100指数(QDII)人民币A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:21:29+08:00,019173,摩根纳斯达克100指数(QDII)人民币C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:21:31+08:00,019305,摩根标普500指数(QDII)人民币C,标普500,(新增),限制大额申购,,100.0
2026-05-11T15:21:33+08:00,019441,万家纳斯达克100指数发起式(QDII)A,纳斯达克100,(新增),限制大额申购,,50.0
2026-05-11T15:21:35+08:00,019442,万家纳斯达克100指数发起式(QDII)C,纳斯达克100,(新增),限制大额申购,,50.0
2026-05-11T15:21:37+08:00,019524,华泰柏瑞纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T15:21:39+08:00,019525,华泰柏瑞纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T15:21:41+08:00,019547,招商纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:21:43+08:00,019548,招商纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:21:45+08:00,019736,宝盈纳斯达克100指数发起(QDII)A人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:21:47+08:00,019737,宝盈纳斯达克100指数发起(QDII)C人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:21:48+08:00,021000,南方纳斯达克100指数发起(QDII)I,纳斯达克100,(新增),限制大额申购,,
2026-05-11T15:21:50+08:00,021773,汇添富纳斯达克100ETF发起式联接(QDII)人民币E,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:21:52+08:00,021778,广发纳指100ETF联接(QDII)人民币F,纳斯达克100,(新增),限制大额申购,,
2026-05-11T15:21:54+08:00,021838,嘉实纳斯达克100ETF发起联接(QDII)I人民币,纳斯达克100,(新增),暂停申购,,
2026-05-11T15:21:56+08:00,022523,天弘标普500发起(QDII-FOF)D,标普500,(新增),限制大额申购,,
2026-05-11T15:21:58+08:00,022525,天弘纳斯达克100指数发起(QDII)D,纳斯达克100,(新增),限制大额申购,,
2026-05-11T15:22:00+08:00,022664,华泰柏瑞纳斯达克100ETF发起式联接(QDII)I,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T15:22:02+08:00,023422,建信纳斯达克100指数(QDII)D人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T15:22:04+08:00,024237,博时纳斯达克100ETF发起式联接(QDII)I人民币,纳斯达克100,(新增),暂停申购,,
2026-05-11T15:22:06+08:00,040046,华安纳斯达克100ETF联接(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T15:22:08+08:00,050025,博时标普500ETF联接A,标普500,(新增),暂停申购,,100.0
2026-05-11T15:22:10+08:00,096001,大成标普500等权重指数(QDII)A人民币,标普500,(新增),限制大额申购,,1000.0
2026-05-11T15:22:12+08:00,160213,国泰纳斯达克100指数,纳斯达克100,(新增),暂停申购,,5000.0
2026-05-11T15:22:14+08:00,161125,易方达标普500指数人民币A,标普500,(新增),暂停申购,,10.0
2026-05-11T15:22:16+08:00,161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),纳斯达克100,(新增),暂停申购,,10.0
2026-05-11T15:22:18+08:00,270042,广发纳斯达克100ETF联接人民币(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T15:22:20+08:00,539001,建信纳斯达克100指数(QDII)A人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:14:42+08:00,000834,大成纳斯达克100ETF联接(QDII)A,纳斯达克100,(新增),限制大额申购,,500.0
2026-05-11T17:14:44+08:00,006075,博时标普500ETF联接C,标普500,(新增),暂停申购,,100.0
2026-05-11T17:14:46+08:00,006479,广发纳斯达克100ETF联接人民币(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T17:14:48+08:00,007721,天弘标普500发起(QDII-FOF)A,标普500,(新增),限制大额申购,,100.0
2026-05-11T17:14:50+08:00,007722,天弘标普500发起(QDII-FOF)C,标普500,(新增),限制大额申购,,100.0
2026-05-11T17:14:52+08:00,008401,大成标普500等权重指数(QDII)C人民币,标普500,(新增),限制大额申购,,1000.0
2026-05-11T17:14:53+08:00,008971,大成纳斯达克100ETF联接(QDII)C,纳斯达克100,(新增),限制大额申购,,500.0
2026-05-11T17:14:55+08:00,012752,建信纳斯达克100指数(QDII)C人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T17:14:57+08:00,012860,易方达标普500指数人民币C,标普500,(新增),暂停申购,,10.0
2026-05-11T17:14:59+08:00,012870,易方达纳斯达克100ETF联接(QDII-LOF)C(人民币),纳斯达克100,(新增),暂停申购,,10.0
2026-05-11T17:15:01+08:00,014978,华安纳斯达克100ETF联接(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T17:15:03+08:00,015299,华夏纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T17:15:05+08:00,015300,华夏纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T17:15:07+08:00,016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T17:15:09+08:00,016057,博时纳斯达克100ETF发起式联接(QDII)C人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T17:15:11+08:00,016452,南方纳斯达克100指数发起(QDII)A,纳斯达克100,(新增),限制大额申购,,200.0
2026-05-11T17:15:13+08:00,016453,南方纳斯达克100指数发起(QDII)C,纳斯达克100,(新增),限制大额申购,,200.0
2026-05-11T17:15:15+08:00,016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T17:15:17+08:00,016533,嘉实纳斯达克100ETF发起联接(QDII)C人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T17:15:19+08:00,017028,国泰标普500ETF发起联接(QDII)A人民币,标普500,(新增),暂停申购,,
2026-05-11T17:15:20+08:00,017030,国泰标普500ETF发起联接(QDII)C人民币,标普500,(新增),暂停申购,,
2026-05-11T17:15:22+08:00,017641,摩根标普500指数(QDII)人民币A,标普500,(新增),限制大额申购,,100.0
